DOI,nouns
10.1103/PhysRevB.101.235303,quantum bit|reflectivity|band|gap|crystal|finite|thickness|reflectivity|band|gap|crystal|thickness|crystal|plate|array|stack|quality|woodpile|structure|reflectivity|peak|band|gap|band|structure|reflectivity|value|crystal|layer|stop|band|crystal|thickness|agreement|difference|domain|simulation|behavior|change|crystal|reflectivity|bragg|interference|band|gap|crystal|incident|light|scatter|lattice|vector|one|crystal|dimension|size|insight|consequence|band|gap|crystal|structure|band|gap|functionality|device|vacuum|fluctuation
10.1063/5.0001922,quantum bit|nitrogen|vacancy|diamond|nanostructure|ion|implantation|nitrogen|vacancy|center|diamond|nanostructure|attention|photon|emitter|device|density|center|diamond|membrane|contrast|diamond|nanostructure|concentration|center|diamond|color|center|laser|gain|source|field|sensor|dose|helium|ion|implantation|type|diamond|substrate|anneal|diamond|membrane|ensemble|center|luminescence|spectroscopy|kinetic|center|temperature|anneal|temperature|center|emission|transformation|center|nanowire|air|diamond|membrane|photoluminescence|center|concentration|route|fabrication|diamond|nanostructure|ensemble|center|material|diamond|light|field|device
10.1103/PhysRevB.101.035424,quantum dot|quantum dot|quantum dot|state|tomography|spin|qubit|semiconductor|choice|matter|spin|qubit|qubit|tomography|qubit|polarization|matter|spin|tomography|resource|task|tomography|spin|spin|configuration|conduction|band|electron|valence|band|hole|electron|hole|pair|exciton|spin|qubit|pulse|qubit|qubit|decay|photon|tomography|orthogonal|excitation|measurement|degree|polarization|light|qubit|exciton|spin|state|fidelity|accuracy|polarization|analyzer
10.1088/1361-6455/ab68b6,quantum bit|scheme|cod|entanglement|yquantum|cod|protocol|bit|information|sender|receiver|qubit|article|scheme|cod|entanglement|swap|cavity|array|number|level|atom|choice|parameter|atom|cavity|couple|transfer|information|fidelity|transfer|information|value|context|crystal|cavity|resonator|imperfection|disorder|couple|strength|resonance|frequency
10.1002/qute.202000011,quantum computer|quantum computing|cluster state|architecture|silicon|donor|qubit|photon|circuit|architecture|protocol|measurement|donor|spin|qubit|entanglement|readout|build|block|protocol|circuit|matter|qubit|build|block|machine|measurement|unitarie|measurement|pauli|operator|source|error|fault|threshold|value|order|literature|component|silicon|circuit|chip|threshold|reach
10.1038/s42005-020-0307-5,quantum computing|quantum computing|quantum bit|quantum bit|quantum circuit|heat|rectification|atom|heat|transport|control|circuit|attention|microwave|engineering|circuit|quantum|electrodynamic|light|author|heat|rectifier|equivalent|diode|spin|boson|rectifier|technology|need|route|heating|challenge|realisation|gate|device|device|toolbox|transmon|type|superconducte|resonator|architecture|heat|transport|circuit|thermometer|characteristic|probe|metal|island|resonator|frequency|resonator|film|metal|island|flux|heat|rectification
10.1103/PhysRevApplied.14.064033,superconducting qubit|superconducting qubit|quantum simulation|resonator|resonant|structure|array|circuit|element|microwave|mode|spectra|dispersion|wave|resonance|density|mode|frequency|range|bandgap|frequency|regime|multimode|circuit|quantum|electrodynamic|series|measurement|material|resonator|flux|transmon|qubit|microwave|measurement|couple|qubit|mode|readout|resonator|qubit|qubit|energy|relaxation|function|frequency|presence|mode|spectrum|shift|qubit|photon|number|mode|simulation|scheme|couple|couple|energy|qubit|mode|intermode|space|device|circuit|parameter|ability|mode|spectrum|choice|circuit|parameter|state|interaction|qubit|platform|analog|microwave|photon|quantum|memory
10.1103/PhysRevB.101.245415,superconducting qubit|landau|stuckelberg|interferometry|circuit|quantum|electrodynamic|landau|stfickelberg|lzs|interferometry|architecture|dissipation|signal|transmission|line|resonator|qubit|resonator|device|environment|account|resonator|quantum|bath|floquet|markov|master|equation|dynamic|amplitude|drive|timescale|difference|pattern|couple|ultrastrong|couple|regime|qubit|resonator|interaction|magnitude|gap|energy|spectrum|lzs|contribution|qubit|gap|gap|drive|amplitude|pattern|weave|structure|intercrosse|gap|contribution
10.1038/s41586-020-2811-x,quantum computer|quantum state|quantum sensor|quantum sensor|control|ion|qubit|integration|control|technology|route|ion|basis|fidelity|quantum|information|accuracy|space|optic|ion|control|portability|scalability|surface|ion|trap|waveguide|grating|coupler|wavelength|light|ionization|gate|preparation|detection|qubit|laser|light|violet|infrare|chip|fibre|array|path|qubit|coherence|platform|vibration|demonstration|cmos|surface|trap|fabrication|packaging|qubit|coherence|advance|ion|clock|way|control|number|ion|information|process
10.1007/s11128-020-2578-x,step|transfer|information|state|qubit|way|information|state|qubit|cqubit|cavity|atom|state|cqubit|state|superposition|state|photon|information|cqubit|cavity|step|gate|proposal|set|microwave|cavity|atom|proposal|cqubit|quantum|information|mode|field|atom
