DOI,nouns
10.1038/nature11573,quantum dot|quantum dot|quantum bit|quantum bit|quantum entanglement|quantum network|quantum network|trapped ion|neutral atom|photon pair|observation|entanglement|spin|photon|entanglement|role|test|field|information|processing|context|communication|challenge|generation|entanglement|spin|photon|observation|semiconductor|spin|colour|photon|demonstration|entanglement|relie|use|photon|detection|photon|superposition|frequency|component|result|demonstration|spin|photon|entanglement|nitrogen|vacancy|domain|atom|semiconductor|nanostructure|chip|integration|result|transition|selection|rule|scheme|rate|emission|rate|observation|step|implementation|semiconductor|spin
10.1007/s10773-013-1646-8,quantum bit|trapped ion|scheme|grover|quantum|search|algorithm|ion|scheme|qubit|grover|quantum|search|algorithm|motion|scheme|state|level|ion|qubit|scheme|limitation|intensity|laser|field|speed|ion|operation|amount|time|decoherence|scheme|technique
10.1038/ncomms2764,quantum computing|quantum dot|quantum dot|quantum dot|quantum bit|superconducting qubit|trapped ion|microcavity|coupling|qubit|energy|coherence|transfer|harvesting|photosynthesis|operation|process|pair|oscillator|spring|exchange|excitation|level|mechanism|coupling|exciton|semiconductor|field|coupling|photon|mode|state|microresonator|exciton|photon|coupling|regime|spectroscopy|sample|response|probe|coupling|result|description|cavity|coupling|exciton|mechanism|instance|crystal|cavity|network|range|coupling
10.1038/NPHYS2385,quantum bit|superconducting qubit|quantum algorithm|quantum state|quantum system|quantum processor|quantum processor|quantum processor|trapped ion|factor|josephson|phase|qubit|mechanic|factor|version|shor|algorithm|sum|factorization|algorithm|state|number|qubit|control|hardware|quantum|element|state|experiment|capability|device|spectroscopy|interaction|qubit|entanglement|experiment|qubit|version|shor|algorithm|number|factor|time|improvement|coherence|time|circuit|resource|number
10.1038/nature09801,quantum computing|quantum bit|quantum system|quantum system|quantum system|quantum system|quantum simulator|trapped ion|trapped ion|quantum simulation|system|control|interest|application|technology|progress|environment|dynamic|creation|manipulation|entanglement|system|dynamic|particle|coupling|environment|toolbox|qubit|architecture|gate|pumping|operation|process|ability|system|dynamic|preparation|state|simulation|body|spin|interaction|measurement|observable|dissipation|operation|work|prospect|system|computation
10.1038/nature13729,quantum computer|quantum computing|quantum computing|quantum dot|quantum bit|quantum bit|quantum gate|quantum gate|quantum gate|quantum state|trapped ion|realization|state|spin|realization|set|logic|gate|requirement|implementation|approach|quantum|berry|extension|transformation|hilbert|interest|structure|approach|innoise|resilience|side|phase|holonomie|ensemble|molecule|system|purpose|proposal|computation|platform|experiment|bit|gate|realization|set|state|spin|diamond|nitrogen|vacancy|centre|diamond|defect|potential|room|temperature|interest|experiment|quantum|computation|state|spin|use|advance|control
10.1038/NPHYS1731,quantum bit|quantum system|quantum system|trapped ion|bell state|w state|interaction|phase|qubit|cavity|multipartite|entanglement|quantum|test|precision|form|qubit|atom|microwave|circuit|interaction|evidence|particle|entanglement|demonstration|interaction|time|domain|phase|qubit|resonant|cavity|evidence|evolution|product|state|bipartite|cavity|multiphoton|register|entanglement|bus|preparation|multiphoton|state|cavity|interaction|entanglement|distribution|creation|class|entanglement|greenberger|zeilinger|state
10.1038/nature12801,quantum bit|quantum bit|superconducting qubit|quantum gate|quantum cryptography|quantum system|trapped ion|bell state|production|state|state|resource|quantum|physic|quantum|introduction|method|entanglement|process|fidelity|state|preparation|minimization|decoherence|system|environment|control|system|parameter|process|dissipation|ion|qubit|state|study|entanglement|application|sequence|time|gate|process|ion|qubit|time|fashion|pumping|state|system|state|entanglement|presence|noise|decoherence|demonstration|state|qubit|step|state|engineering|computation|phase|approach|coupling|environment|range|system|dynamic|state|work|state
10.1038/s41586-018-0450-2,quantum computing|quantum dot|quantum bit|trapped ion|neutral atom|quantum simulation|quantum simulation|quantum simulation|structure|atom|atom|challenge|science|technology|research|system|number|application|platform|state|system|system|photon|qubit|environment|structure|hundred|qubit|quantum|gas|realization|lattice|hundred|atom|array|microtrap|tweezer|control|dimension|dimension|atom|control|number|range|model|assembly|defect|array|atom|method|tweezer|arrange|atom|atom|plane|plane|array|target|structure|geometry|result|prospect|ten|qubit|space|system|hundred|qubit|reach|technology
10.1103/PhysRevA.107.012609,quantum bit|quantum teleportation|quantum network|trapped ion|quantum memory|ghz state|analysis|multipartite|entanglement|distribution|quantum|network|node|performance|rate|fidelity|multipartite|state|ina|use|node|scenario|multipartite|state|node|end|node|network|result|order|expression|bound|rate|fidelity|class|multipartite|state|greenberger|zeilinger|ghz|state|expression|fidelity|time|depolarizing|noise|monte|carlo|simulation|result|performance|case|node|switch|end|node|fashion|result|teleportation|scheme|nitrogen|vacancy|center|diamond
